0.000000000000000000e+00 4.789695870306893966e+01
1.039284810977751761e+02 1.477069632884887938e+02
1.484808519350616791e+02 1.930781712370530840e+02
2.062051730477498381e+02 2.341597098111435571e+02
2.550812943541831430e+02 2.701715357895636203e+02
3.448323137144203088e+02 4.153824909293433620e+02
4.159304840587096805e+02 4.177844116756039057e+02
4.243776305180309691e+02 4.835747594724598457e+02
4.970620075572084033e+02 6.399822810515227047e+02
6.543552814521225400e+02 7.034929466022555289e+02
7.584363132582784601e+02 8.185174701163266491e+02
8.588116114442502749e+02 9.054078661311635869e+02
9.257932648019093449e+02 9.607645715689995995e+02
9.742779528754078910e+02 1.016051829253960591e+03
1.043117141590454139e+03 1.045899255047218958e+03
1.059791585265960293e+03 1.099543841636233083e+03
1.113593783427593507e+03 1.156055082631559117e+03
1.181266235892530631e+03 1.181879136577105783e+03
1.196071439574887108e+03 1.335718531178894409e+03
1.350181961494183270e+03 1.378812505420924936e+03
1.405875116020791893e+03 1.437689518515924419e+03
1.451215190447186842e+03 1.539493036652864021e+03
1.545854293380617491e+03 1.572371039206324440e+03
1.595711128447582951e+03 1.615972659570026053e+03
