8.692814435052999045e+01 1.039284810977751761e+02
1.930865721399766244e+02 2.062051730477498381e+02
3.228462799342213998e+02 3.448323137144203088e+02
4.835830171050779427e+02 4.970620075572084033e+02
6.399900084832686389e+02 6.543552814521225400e+02
6.529209556078052401e+02 6.543552814521225400e+02
7.438049350963279949e+02 7.584363132582784601e+02
8.448301133669426690e+02 8.588116114442502749e+02
9.607727546547695283e+02 9.742779528754078910e+02
9.721945584827544735e+02 9.742779528754078910e+02
1.045907253630709192e+03 1.059791585265960293e+03
1.181886909987903437e+03 1.196071439574887108e+03
1.191088661507881170e+03 1.196071439574887108e+03
1.335726061176324265e+03 1.350181961494183270e+03
1.437697567876480889e+03 1.451215190447186842e+03
1.615980544898650805e+03 1.629769068171775416e+03
